,gps_e,gps_n,pf_e,pf_n,pf_theta,diff_e,diff_n,diff_sum,error
59,743134.9457599405,3398222.3423238993,743455.1898613967,3398993.0264692456,2.9987627041813725,102556.28451744642,593954.0518881321,696510.3364055785,834.5719480102231
60,743135.6202777004,3398223.488916903,743509.0215493693,3399055.2135566357,3.0591459719688037,139428.50968399743,691765.8763387497,831194.386022747,911.6986267526935
61,743136.2804635022,3398224.640531995,743519.1399461647,3399071.785452414,3.0668834069242346,146581.38346461204,717654.5161916635,864235.8996562755,929.6428882405736
62,743136.9055035799,3398225.7917392883,743354.6676757451,3398961.8374262764,2.5799530245000213,47420.36362611072,541763.2533338724,589183.6169599831,767.5829707334466
63,743137.5170049998,3398226.954340223,743275.7366612721,3398852.631126315,2.353251386449778,19104.673380039854,391471.44065396924,410576.1140340091,640.762135299839
64,743138.0951212617,3398228.115669217,743494.2708467057,3399017.6164104333,2.9650569550425763,126861.14739555054,623311.4203811724,750172.567776723,866.1250301063484
65,743138.6477397251,3398229.280295444,743498.9430863538,3399017.357849615,2.9754533500540945,129812.73680233696,621066.2313881038,750878.9681904408,866.5327277087928
66,743139.1837047014,3398230.4529130496,743141.708189038,3398230.947911705,1.2136831401924881,6.373021165784288,0.24502366873094963,6.618044834515238,2.572556089673311
67,743139.6746286931,3398231.6244598464,,,0.0,,,,
68,743140.1465797141,3398232.814767328,,,0.0,,,,
69,743140.5873776362,3398233.992954063,,,0.0,,,,
70,743141.0017249594,3398235.1691992595,,,0.0,,,,
71,743141.3934291223,3398236.355753906,,,0.0,,,,
72,743141.7410007396,3398237.537590742,743144.955704513,3398235.8008694053,1.3517906739569323,10.334320350591252,3.016201001840816,13.350521352432068,3.6538365251379363
73,743142.0742415702,3398238.739197262,743145.2762529384,3398237.1226909165,1.3569289768505686,10.252876802321776,2.613092765268359,12.865969567590135,3.5869164427945814
74,743142.36687979,3398239.9241043082,743146.0085595493,3398238.1387523864,1.3408541010113801,13.26183146980633,3.1874814846901263,16.449312954496456,4.05577525936737
75,743142.6275189288,3398241.106660137,743146.5444061696,3398239.1882086475,1.3507833851044904,15.342005656493104,3.6804561172387076,19.022461773731813,4.361474724646678
76,743142.8598514579,3398242.3051826498,743146.8983050161,3398240.359541421,1.3704146315378594,16.309107141956698,3.78551979170898,20.09462693366568,4.482703083371201
77,743143.049175789,3398243.4838260924,743147.1873449571,3398241.4641522677,1.393713834891889,17.124444064189156,4.079082358485172,21.20352642267433,4.604728702396519
78,743143.2101220789,3398244.695403391,743147.4138914278,3398242.5902291383,1.425612513964452,17.671676738843693,4.4317586344979,22.103435373341593,4.701429077774288
79,743143.3423646858,3398245.8744081473,743147.5756516095,3398243.7538907006,1.4566362548800804,17.920718177628313,4.496594241587348,22.417312419215662,4.734692431321771
80,743143.440518807,3398247.0506786318,743147.692592167,3398245.1757044382,1.4956048023513329,18.080127858043866,3.5155282263551695,21.595656084399035,4.647112661040082
81,743143.5091466305,3398248.239608073,743147.7896442759,3398246.1513576116,1.5006115406770486,18.322660092079595,4.360789989955539,22.683450082035133,4.762714570708089
82,743143.544791394,3398249.404572061,743147.9020448345,3398247.55275681,1.5369482441412103,18.985657544077522,3.4292197227332606,22.414877266810784,4.734435263768086
83,743143.5392815861,3398250.58709741,743147.9638985047,3398248.6746367835,1.5550073920789835,19.57723487694796,3.657505648175335,23.234740525123293,4.820242786947904
84,743143.5106685861,3398251.7499616486,743147.986318474,3398249.571489032,1.564223655840646,20.031441919316535,4.745742941754307,24.777184861070843,4.977668617040596
85,743143.4478189463,3398252.907763764,743148.0031826163,3398250.730586999,1.6036808007239567,20.751338165878366,4.740098664752005,25.49143683063037,5.048904517876167
86,743143.3488268491,3398254.079624778,743147.983233863,3398251.8623198993,1.6296718415745561,21.47772837037002,4.916440925852557,26.39416929622258,5.137525600541819
87,743143.231875592,3398255.2165736062,743147.9188950952,3398252.983494781,1.6529349003770923,21.968151823468478,4.986641039947494,26.95479286341597,5.191800541567056
88,743143.0748294191,3398256.3755501336,743147.8455355847,3398254.1684700344,1.6681296082812223,22.759637318321552,4.871202564576116,27.630839882897668,5.256504530854859
89,743142.9013068493,3398257.5080678547,,,0.0,,,,
90,743142.6965811589,3398258.6306848363,,,0.0,,,,
91,743142.4465427995,3398259.7612903253,,,0.0,,,,
92,743142.1931437075,3398260.857933836,,,0.0,,,,
93,743141.8843619255,3398261.9686399414,743147.5682324102,3398258.6693145945,1.8313540970932847,32.30638368688042,10.88554774500507,43.19193143188549,6.572056864626591
94,743141.5670220684,3398263.0560882664,743147.8108853127,3398260.147193797,1.8472510025290743,38.985828213622405,8.461667034663616,47.44749524828602,6.888214227815945
95,743141.2214759123,3398264.131405008,743147.8487932794,3398261.6702466374,1.8168209575568195,43.92133548455128,6.057300525170266,49.97863600972154,7.069556988222214
96,743140.8293861918,3398265.210911569,743147.5453123322,3398262.7452666773,1.8691343759790255,45.10366392371615,6.079404732654093,51.18306865637024,7.154234316568772
97,743140.4382881982,3398266.265336064,,,0.0,,,,
98,743139.9881049335,3398267.318914288,,,0.0,,,,
99,743139.5364530222,3398268.3634195994,,,0.0,,,,
100,743139.0553100011,3398269.403254297,,,0.0,,,,
101,743138.5191799293,3398270.445589762,,,0.0,,,,
102,743138.0049188398,3398271.464477832,,,0.0,,,,
103,743137.4245141085,3398272.4876804394,,,0.0,,,,
104,743136.8448437745,3398273.494214998,,,0.0,,,,
105,743136.2385591943,3398274.492244079,,,0.0,,,,
106,743135.5800444648,3398275.492268122,,,0.0,,,,
107,743134.9504340983,3398276.472594023,,,0.0,,,,
108,743134.2470459557,3398277.448383639,,,0.0,,,,
109,743133.5630337222,3398278.418180633,,,0.0,,,,
110,743132.8633545274,3398279.3849370712,,,0.0,,,,
111,743132.1097946084,3398280.350680966,,,0.0,,,,
112,743131.397313971,3398281.3081081207,,,0.0,,,,
113,743130.6154311724,3398282.2668834347,,,0.0,,,,
114,743129.8536998406,3398283.2199161244,743133.7807084147,3398280.941756729,2.2642247481743087,15.421396341290642,5.1900102305118025,20.611406571802444,4.539978697285092
